Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mouser Price/Stock,Mouser Part Number,Manufacturer_Name,Arrow Part Number,Height,Arrow Price/Stock,Manufacturer_Part_Number
1,"8-bit serial-in, serial or parallel-out shift register with output latches 3-state","74HC595D,118",IC1 IC2 IC3 IC4,"74HC595D,118",SOIC127P600X175-16N,4,https://assets.nexperia.com/documents/data-sheet/74HC_HCT595.pdf,https://www.mouser.co.uk/ProductDetail/Nexperia/74HC595D118?qs=P62ublwmbi8l0ry%252BN2uyHg%3D%3D,771-74HC595D-T,Nexperia,"74HC595D,118",1.75,https://www.arrow.com/en/products/74hc595d118/nexperia?region=europe,"74HC595D,118"
2,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Female,J7 J8,Conn_01x02_Female,Molex_SL_171971-0002_1x02_P2.54mm_Vertical,2,~,,,,,,,
3,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06_Female,J1 J2 J3 J4 J5,Conn_01x06_Female,Molex_SL_171971-0006_1x06_P2.54mm_Vertical,5,~,,,,,,,
4,"50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23",BSS138,Q1 Q2 Q3 Q4,BSS138,SOT-23,4,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF,,,,,,,
5,Resistor,R,R3 R4 R5 R6 R7 R8 R11 R12 R13 R14 R15 R16 R25 R26 R27 R28 R29 R30 R33 R34 R35 R36 R37 R38,1k,R_0805_2012Metric,24,~,,,,,,,
6,Resistor,R,R1 R2 R19 R20 R21 R22 R23 R24,10k,R_0805_2012Metric,8,~,,,,,,,





Component Groups:,6
Component Count:,47
Fitted Components:,47
Number of PCBs:,1
Total components:,47
Schematic Version:,V1
Schematic Date:,2023-01-22
PCB Variant:,udefault
BoM Date:,01/23/23 21:36:17
Schematic Source:,GalaxEye.sch
KiCad Version:,Eeschema (5.1.10)-1
